"Custom ID",Judul,Pencipta,"Asal Report",Revenue,Deduction,"Net Revenue","Sub Publisher Share","TBW Share"
TLSESF0001,"YA TARIM","HASAN BIN JA'FAR ASSEGAF",YouTube,848045.95,0.00,848045.95,720839.06,127206.89
TLSESF0001,"YA TARIM","HASAN BIN JA'FAR ASSEGAF","YouTube Premium",54950.79,0.00,54950.79,46708.17,8242.62
TLSESF0002,"MUHAMMADUN YAA RASULULLAH","HASAN BIN JA'FAR ASSEGAF",YouTube,164.94,0.00,164.94,140.20,24.74
TLSESF0002,"MUHAMMADUN YAA RASULULLAH","HASAN BIN JA'FAR ASSEGAF","YouTube Premium",99.15,0.00,99.15,84.28,14.87
TLSESF0003,"SHOLAWAT SAYYIDI SADAT","HASAN BIN JA'FAR ASSEGAF",YouTube,31009.42,0.00,31009.42,26358.01,4651.41
TLSESF0003,"SHOLAWAT SAYYIDI SADAT","HASAN BIN JA'FAR ASSEGAF","YouTube Premium",4033.31,0.00,4033.31,3428.32,605.00
TLSESF0004,"TAWASUL AULIA","HASAN BIN JA'FAR ASSEGAF",YouTube,55145.52,0.00,55145.52,46873.70,8271.83
TLSESF0004,"TAWASUL AULIA","HASAN BIN JA'FAR ASSEGAF","YouTube Premium",6562.68,0.00,6562.68,5578.28,984.40
TLSESF0005,"YAA DZALJALALI WAL IKRAM","HASAN BIN JA'FAR ASSEGAF",YouTube,15066.39,0.00,15066.39,12806.43,2259.96
TLSESF0005,"YAA DZALJALALI WAL IKRAM","HASAN BIN JA'FAR ASSEGAF","YouTube Premium",2935.16,0.00,2935.16,2494.89,440.27
TLSESF0006,"YA HABIBANA ABDURAHMAN ASSEGAF","HASAN BIN JA'FAR ASSEGAF",YouTube,6072.00,0.00,6072.00,5161.20,910.80
TLSESF0006,"YA HABIBANA ABDURAHMAN ASSEGAF","HASAN BIN JA'FAR ASSEGAF","YouTube Premium",1635.38,0.00,1635.38,1390.07,245.31
TLSESF0007,"ALLAHUL KAAFI","HASAN BIN JA'FAR ASSEGAF",YouTube,1885210.52,0.00,1885210.52,1602428.94,282781.58
TLSESF0007,"ALLAHUL KAAFI","HASAN BIN JA'FAR ASSEGAF","YouTube Premium",377715.02,0.00,377715.02,321057.77,56657.25
TLSESF0008,"FAROBBUNAL MAULA","HASAN BIN JA'FAR ASSEGAF",YouTube,195.65,0.00,195.65,166.30,29.35
TLSESF0008,"FAROBBUNAL MAULA","HASAN BIN JA'FAR ASSEGAF","YouTube Premium",85.90,0.00,85.90,73.02,12.89
TLSESF0009,"SAYYIDI FAQIH MUQODDAM","HASAN BIN JA'FAR ASSEGAF",YouTube,16.17,0.00,16.17,13.74,2.42
TLSESF0010,"MAJLIS NURUL MUSTHOFA","HASAN BIN JA'FAR ASSEGAF",YouTube,360.62,0.00,360.62,306.53,54.09
TLSESF0010,"MAJLIS NURUL MUSTHOFA","HASAN BIN JA'FAR ASSEGAF","YouTube Premium",67.15,0.00,67.15,57.08,10.07
TLSESF0014,"ALFA SHOLALLAH","HASAN BIN JA'FAR ASSEGAF",YouTube,2175.46,0.00,2175.46,1849.14,326.32
TLSESF0014,"ALFA SHOLALLAH","HASAN BIN JA'FAR ASSEGAF","YouTube Premium",398.27,0.00,398.27,338.53,59.74
TLSESF0015,"YAA ABANA SEGGAF","HASAN BIN JA'FAR ASSEGAF",YouTube,428.16,0.00,428.16,363.94,64.22
TLSESF0015,"YAA ABANA SEGGAF","HASAN BIN JA'FAR ASSEGAF","YouTube Premium",55.71,0.00,55.71,47.36,8.36
TLSESF0016,"KHOIRUL BARIYYAH","HASAN BIN JA'FAR ASSEGAF",YouTube,12826.06,0.00,12826.06,10902.15,1923.91
TLSESF0016,"KHOIRUL BARIYYAH","HASAN BIN JA'FAR ASSEGAF","YouTube Premium",1408.17,0.00,1408.17,1196.94,211.23
TLSESF0038,"WAQTUSAHR TEKS INDONESIA","HASAN BIN JA'FAR ASSEGAF",YouTube,11136.11,0.00,11136.11,9465.69,1670.42
TLSESF0038,"WAQTUSAHR TEKS INDONESIA","HASAN BIN JA'FAR ASSEGAF","YouTube Premium",3359.64,0.00,3359.64,2855.70,503.95
TLSESF0073,"YAA LAA QOLBIN","HASAN BIN JA'FAR ASSEGAF",YouTube,1709.20,0.00,1709.20,1452.82,256.38
TLSESF0073,"YAA LAA QOLBIN","HASAN BIN JA'FAR ASSEGAF","YouTube Premium",211.19,0.00,211.19,179.51,31.68
TLSESF0076,"YAA NABINAL HADI","HASAN BIN JA'FAR ASSEGAF",YouTube,1365.54,0.00,1365.54,1160.71,204.83
TLSESF0076,"YAA NABINAL HADI","HASAN BIN JA'FAR ASSEGAF","YouTube Premium",101.90,0.00,101.90,86.62,15.29
TLSESF0089,"YAA ROBBANA YAA JAWWAD","HASAN BIN JA'FAR ASSEGAF",YouTube,531.56,0.00,531.56,451.82,79.73
TLSESF0089,"YAA ROBBANA YAA JAWWAD","HASAN BIN JA'FAR ASSEGAF","YouTube Premium",54.77,0.00,54.77,46.56,8.22
TLSESF0091,"ALA YA ALLAH BI NADROH","HASAN BIN JA'FAR ASSEGAF",YouTube,1145.98,0.00,1145.98,974.09,171.90
TLSESF0091,"ALA YA ALLAH BI NADROH","HASAN BIN JA'FAR ASSEGAF","YouTube Premium",780.00,0.00,780.00,663.00,117.00
TLSESF0093,"QOSIDAH DAUNI LIRIK INDO","HASAN BIN JA'FAR ASSEGAF",YouTube,669.24,0.00,669.24,568.85,100.39
TLSESF0093,"QOSIDAH DAUNI LIRIK INDO","HASAN BIN JA'FAR ASSEGAF","YouTube Premium",163.88,0.00,163.88,139.30,24.58
TLSESF0094,"RABBI FAN FA'NA BIBARKATIHIM","HASAN BIN JA'FAR ASSEGAF",YouTube,751.53,0.00,751.53,638.80,112.73
TLSESF0094,"RABBI FAN FA'NA BIBARKATIHIM","HASAN BIN JA'FAR ASSEGAF","YouTube Premium",118.44,0.00,118.44,100.67,17.77
